subno,loss,gain,response,condition,resp
8,6,6,accept,20.20,1
8,6,8,accept,20.20,1
8,6,10,accept,20.20,1
8,6,12,accept,20.20,1
8,6,14,accept,20.20,1
8,6,16,accept,20.20,1
8,6,18,accept,20.20,1
8,6,20,accept,20.20,1
8,8,6,reject,20.20,0
8,8,8,accept,20.20,1
8,8,10,accept,20.20,1
8,8,12,accept,20.20,1
8,8,14,accept,20.20,1
8,8,16,accept,20.20,1
8,8,18,accept,20.20,1
8,8,20,accept,20.20,1
8,10,6,reject,20.20,0
8,10,8,reject,20.20,0
8,10,10,accept,20.20,1
8,10,12,accept,20.20,1
8,10,14,accept,20.20,1
8,10,16,accept,20.20,1
8,10,18,accept,20.20,1
8,10,20,accept,20.20,1
8,12,6,reject,20.20,0
8,12,8,reject,20.20,0
8,12,10,reject,20.20,0
8,12,12,accept,20.20,1
8,12,14,accept,20.20,1
8,12,16,accept,20.20,1
8,12,18,accept,20.20,1
8,12,20,accept,20.20,1
8,14,6,reject,20.20,0
8,14,8,reject,20.20,0
8,14,10,reject,20.20,0
8,14,12,reject,20.20,0
8,14,14,accept,20.20,1
8,14,16,accept,20.20,1
8,14,18,accept,20.20,1
8,14,20,accept,20.20,1
8,16,6,reject,20.20,0
8,16,8,reject,20.20,0
8,16,10,reject,20.20,0
8,16,12,reject,20.20,0
8,16,14,reject,20.20,0
8,16,16,accept,20.20,1
8,16,18,accept,20.20,1
8,16,20,accept,20.20,1
8,18,6,reject,20.20,0
8,18,8,reject,20.20,0
8,18,10,accept,20.20,1
8,18,12,reject,20.20,0
8,18,14,accept,20.20,1
8,18,16,reject,20.20,0
8,18,18,accept,20.20,1
8,18,20,accept,20.20,1
8,20,6,reject,20.20,0
8,20,8,reject,20.20,0
8,20,10,reject,20.20,0
8,20,12,reject,20.20,0
8,20,14,reject,20.20,0
8,20,16,accept,20.20,1
8,20,18,reject,20.20,0
8,20,20,accept,20.20,1
5,6,12,reject,40.20,0
5,6,16,reject,40.20,0
5,6,20,accept,40.20,1
5,6,24,accept,40.20,1
5,6,28,accept,40.20,1
5,6,32,accept,40.20,1
5,6,36,accept,40.20,1
5,6,40,accept,40.20,1
5,8,12,reject,40.20,0
5,8,16,accept,40.20,1
5,8,20,accept,40.20,1
5,8,24,accept,40.20,1
5,8,28,accept,40.20,1
5,8,32,accept,40.20,1
5,8,36,accept,40.20,1
5,8,40,accept,40.20,1
5,10,12,reject,40.20,0
5,10,16,reject,40.20,0
5,10,20,accept,40.20,1
5,10,24,reject,40.20,0
5,10,28,reject,40.20,0
5,10,32,accept,40.20,1
5,10,36,accept,40.20,1
5,10,40,accept,40.20,1
5,12,12,reject,40.20,0
5,12,16,reject,40.20,0
5,12,20,accept,40.20,1
5,12,24,accept,40.20,1
5,12,28,accept,40.20,1
5,12,32,accept,40.20,1
5,12,36,accept,40.20,1
5,12,40,accept,40.20,1
5,14,12,reject,40.20,0
5,14,16,reject,40.20,0
5,14,20,reject,40.20,0
5,14,24,accept,40.20,1
5,14,28,accept,40.20,1
5,14,32,accept,40.20,1
5,14,36,reject,40.20,0
5,14,40,accept,40.20,1
5,16,12,reject,40.20,0
5,16,16,reject,40.20,0
5,16,20,reject,40.20,0
5,16,24,reject,40.20,0
5,16,28,reject,40.20,0
5,16,32,accept,40.20,1
5,16,36,accept,40.20,1
5,16,40,accept,40.20,1
5,18,12,reject,40.20,0
5,18,16,reject,40.20,0
5,18,20,reject,40.20,0
5,18,24,reject,40.20,0
5,18,28,accept,40.20,1
5,18,32,accept,40.20,1
5,18,36,accept,40.20,1
5,18,40,accept,40.20,1
5,20,12,reject,40.20,0
5,20,16,reject,40.20,0
5,20,20,reject,40.20,0
5,20,24,reject,40.20,0
5,20,28,reject,40.20,0
5,20,32,reject,40.20,0
5,20,36,accept,40.20,1
5,20,40,accept,40.20,1
13,6,12,accept,40.20,1
13,6,16,accept,40.20,1
13,6,20,accept,40.20,1
13,6,24,accept,40.20,1
13,6,28,accept,40.20,1
13,6,32,accept,40.20,1
13,6,36,accept,40.20,1
13,6,40,accept,40.20,1
13,8,12,reject,40.20,0
13,8,16,accept,40.20,1
13,8,20,accept,40.20,1
13,8,24,accept,40.20,1
13,8,28,accept,40.20,1
13,8,32,accept,40.20,1
13,8,36,accept,40.20,1
13,8,40,accept,40.20,1
